medication_id,medication_name,pharm_class_cd,pharm_class_title,simple_generic_cd,simple_generic_title,generic_name,gpi,strength,form,route
42397,HYDROMORPHONE (PF) 20 MCG/ML-BUPIVACAINE 0.06 % IN 0.9 % NACL EPIDURAL,12236,OPIOID ANALGESICS,9990308005,HYDROMORPHONE/BUPIV/0.9NACL/PF,HYDROmorphone (PF) 20 mcg/mL-bupivacaine 0.06 % in 0.9 % NaCl epidural,449898,20-0.06 mcg/mL-%,solution,epidural
42398,HYDROMORPHONE (PF) 20 MCG/ML-BUPIVACAINE 0.125 % IN 0.9 %NACL EPIDURAL,12236,OPIOID ANALGESICS,9990308005,HYDROMORPHONE/BUPIV/0.9NACL/PF,HYDROmorphone (PF) 20 mcg/mL-bupivacaine 0.125 % in 0.9 %NaCl epidural,449897,20-0.125 mcg/mL-%,solution,epidural
42399,HYDROMORPHONE 0.2 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 0.2 mg/mL in 0.9 % sodium chloride intravenous,200476,0.2 mg/mL,solution,intravenous
42400,HYDROMORPHONE 10 MG/50 ML (0.2 MG/ML) IN 0.9 % NACL IV PCA SYRINGE,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 10 mg/50 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe,472389,10 mg/50 mL (0.2 mg/mL),pt controlled analgesia syring,intravenous
42402,HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE IV PCA SYRINGE,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 50 mg/50 mL in 0.9 % sodium chloride IV PCA syringe,472387,50 mg/50 mL,pt controlled analgesia syring,intravenous
42403,MEPERIDINE (PF) 10 MG/ML IN 0.9 % SODIUM CHLORIDE INJECTION,12236,OPIOID ANALGESICS,9990305180,MEPERIDINE HCL IN 0.9% NACL/PF,meperidine (PF) 10 mg/mL in 0.9 % sodium chloride injection,475277,10 mg/mL,solution,injection
42404,MORPHINE 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 1 mg/mL in 0.9 % sodium chloride intravenous,175743,1 mg/mL,solution,intravenous
42406,MORPHINE 100 MG/50 ML (2 MG/ML) IN DEXTROSE 5 % PCA SYRINGE,12236,OPIOID ANALGESICS,9990300634,MORPHINE SULFATE/D5W,morphine 100 mg/50 mL (2 mg/mL) in dextrose 5 % PCA syringe,472385,100 mg/50 mL (2 mg/mL),pt controlled analgesia syring,injection
42411,FENTANYL (PF) 2 MCG/ML IN 0.9 % SODIUM CHLORIDE INJECTION,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 2 mcg/mL in 0.9 % sodium chloride injection,444566,2 mcg/mL,solution,injection
42624,"PALLADONE 12 MG CAPSULE,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,"HYDROmorphone ER 12 mg 24 hr capsule,extended release",471907,12 mg,"capsule,ext rel. pellets 24 hr",oral
42625,"PALLADONE 16 MG CAPSULE,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,"HYDROmorphone ER 16 mg 24 hr capsule,extended release",471908,16 mg,"capsule,ext rel. pellets 24 hr",oral
42626,"PALLADONE 24 MG CAPSULE,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,"HYDROmorphone ER 24 mg 24 hr capsule,extended release",471909,24 mg,"capsule,ext rel. pellets 24 hr",oral
42627,"PALLADONE 32 MG CAPSULE,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,"HYDROmorphone ER 32 mg 24 hr capsule,extended release",471910,32 mg,"capsule,ext rel. pellets 24 hr",oral
42637,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.0625 %-NACL INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF) 2 mcg/mL-bupivacaine 0.0625 %-NaCl injection solution,472067,2 mcg/mL- 0.0625 %,solution,injection
42638,FENTANYL 4 MCG/ML-BUPIVACAINE 0.125 % IN SOD CHLOR (PF) INJECTION SOLN,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL 4 mcg/mL-bupivacaine 0.125 % in sod chlor (PF) injection soln,472069,4 mcg/mL- 0.125 %,solution,injection
42640,FENTANYL (PF)-BUPIVACAINE-NACL 2.5 MCG/ML-0.125 % INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF)-bupivacaine-NaCl 2.5 mcg/mL-0.125 % injection solution,472068,2.5-0.125 mcg/mL-%,solution,injection
42641,FENTANYL-ROPIVACAINE-NACL (PF) 2 MCG/ML-0.125 % EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 2 mcg/mL-0.125 % epidural solution,472112,2-0.125 mcg/mL-%,solution,epidural
42644,HYDROMORPHONE 25 MG/50 ML (0.5 MG/ML) IN 0.9 % NACL IV PCA SYRINGE,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 25 mg/50 mL (0.5 mg/mL) in 0.9 % NaCl IV PCA syringe,472092,25 mg/50 mL (0.5 mg/mL),pt controlled analgesia syring,intravenous
42645,MORPHINE 1 MG/ML IN 0.9 % SODIUM CHLORIDE INJECTABLE PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 1 mg/mL in 0.9 % sodium chloride injectable pump reservoir,472094,1 mg/mL,prefilled pump reservoir,injection
42646,MORPHINE 250 MG/50 ML (5 MG/ML) IN 0.9 % SOD. CHLOR IV PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 250 mg/50 mL (5 mg/mL) in 0.9 % sod. chlor IV pump reservoir,472095,250 mg/50 mL (5 mg/mL),prefilled pump reservoir,intravenous
42647,MORPHINE 10 MG/ML IN 0.9 % SODIUM CHLORIDE PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 10 mg/mL in 0.9 % sodium chloride pump reservoir,472096,10 mg/mL,prefilled pump reservoir,injection
42648,MORPHINE 1 MG/ML IN DEXTROSE 5 % PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990300634,MORPHINE SULFATE/D5W,morphine 1 mg/mL in dextrose 5 % pump reservoir,472097,1 mg/mL,prefilled pump reservoir,injection
42649,FENTANYL-BUPIVACAINE-NACL(PF) 5 MCG/ML-0.04 % INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL(PF) 5 mcg/mL-0.04 % injection pump reservoir,472071,5-0.04 mcg/mL-%,prefilled pump reservoir,injection
42650,HYDROMORPHONE 10 MG/50 ML (0.2 MG/ML) IN 0.9 % NACL IV PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 10 mg/50 mL (0.2 mg/mL) in 0.9 % NaCl IV pump reservoir,472091,10 mg/50 mL (0.2 mg/mL),prefilled pump reservoir,intravenous
42651,MEPERIDINE 10 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS PUMP RESEVOIR,12236,OPIOID ANALGESICS,9990304496,MEPERIDINE HCL IN 0.9 % NACL,meperidine 10 mg/mL in 0.9 % sodium chloride intravenous pump resevoir,472093,10 mg/mL,prefilled pump reservoir,intravenous
42652,FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INJECT.PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 10 mcg/mL in 0.9 % sodium chloride inject.pump reservoir,472073,10 mcg/mL,prefilled pump reservoir,injection
42653,FENTANYL (PF) 20 MCG/ML IN 0.9 % SODIUM CHLORIDE INJECT.PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 20 mcg/mL in 0.9 % sodium chloride inject.pump reservoir,472074,20 mcg/mL,prefilled pump reservoir,injection
42654,FENTANYL(PF) 2 MCG/ML-BUPIVACAINE 0.125 %-NACL EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL(PF) 2 mcg/mL-bupivacaine 0.125 %-NaCl epidural pump reservoir,472076,2 mcg/mL- 0.125 %,prefilled pump reservoir,epidural
42655,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.1 %-NACL EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF) 2 mcg/mL-bupivacaine 0.1 %-NaCl epidural pump reservoir,472075,2 mcg/mL- 0.1 %,prefilled pump reservoir,epidural
42656,FENTANYL (PF)-BUPIVACAINE-NACL 5 MCG/ML-0.1% INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF)-bupivacaine-NaCl 5 mcg/mL-0.1% injection pump reservoir,472088,5-0.1 mcg/mL-%,prefilled pump reservoir,injection
42657,FENTANYL-BUPIVACAINE-NACL (PF) 10 MCG/ML-0.1 % EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL (PF) 10 mcg/mL-0.1 % epidural pump reservoir,472090,10-0.1 mcg/mL-%,prefilled pump reservoir,epidural
42658,FENTANYL-BUPIVACAINE-NACL (PF) 5 MCG/ML-0.075 % INJECTION PUMP RESERVR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL (PF) 5 mcg/mL-0.075 % injection pump reservr,472087,5-0.075 mcg/mL-%,prefilled pump reservoir,injection
42659,FENTANYL-BUPIVACAINE-NACL(PF) 5 MCG/ML-0.125 % EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL(PF) 5 mcg/mL-0.125 % epidural pump reservoir,472089,5-0.125 mcg/mL-%,prefilled pump reservoir,epidural
42860,DEPODUR (PF) 10 MG/ML EPIDURAL SUSPENSION,12236,OPIOID ANALGESICS,9990304917,MORPHINE SULFATE LIPOSOMAL/PF,morphine liposomal (PF) 10 mg/mL epidural suspension,472639,10 mg/mL,suspension,epidural
42861,DEPODUR (PF) 15 MG/1.5 ML EPIDURAL SUSPENSION,12236,OPIOID ANALGESICS,9990304917,MORPHINE SULFATE LIPOSOMAL/PF,morphine liposomal (PF) 15 mg/1.5 mL epidural suspension,472640,15 mg/1.5 mL,suspension,epidural
42862,DEPODUR (PF) 20 MG/2 ML EPIDURAL SUSPENSION,12236,OPIOID ANALGESICS,9990304917,MORPHINE SULFATE LIPOSOMAL/PF,morphine liposomal (PF) 20 mg/2 mL epidural suspension,472641,20 mg/2 mL,suspension,epidural
42907,COMBUNOX 400 MG-5 MG TABLET,12878,OPIOID ANALGESIC AND NSAID COMBINATION,9990304925,IBUPROFEN/OXYCODONE HCL,ibuprofen-oxyCODONE 400 mg-5 mg tablet,472620,400-5 mg,tablet,oral
43060,VOPAC 650 MG-30 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 650 mg-codeine 30 mg tablet,473137,650-30 mg,tablet,oral
43075,FENTANYL 25 MCG/HR TRANSDERMAL PATCH,12236,OPIOID ANALGESICS,6510002500,FENTANYL,fentaNYL 25 mcg/hr transdermal patch,277261,25 mcg/hr,patch 72 hour,transdermal
43076,FENTANYL 50 MCG/HR TRANSDERMAL PATCH,12236,OPIOID ANALGESICS,6510002500,FENTANYL,fentaNYL 50 mcg/hr transdermal patch,156036,50 mcg/hr,patch 72 hour,transdermal
43077,FENTANYL 75 MCG/HR TRANSDERMAL PATCH,12236,OPIOID ANALGESICS,6510002500,FENTANYL,fentaNYL 75 mcg/hr transdermal patch,284301,75 mcg/hr,patch 72 hour,transdermal
43078,FENTANYL 100 MCG/HR TRANSDERMAL PATCH,12236,OPIOID ANALGESICS,6510002500,FENTANYL,fentaNYL 100 mcg/hr transdermal patch,226805,100 mcg/hr,patch 72 hour,transdermal
43236,TRYCET 100 MG-325 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-325 mg tablet,473480,100-325 mg,tablet,oral
43345,FENTANYL-ROPIVACAINE-NACL (PF) 3 MCG/ML-0.1 % EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 3 mcg/mL-0.1 % epidural solution,473431,3-0.1 mcg/mL-%,solution,epidural
43385,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990303869,TRAMADOL HCL/ACETAMINOPHEN,traMADoL 37.5 mg-acetaminophen 325 mg tablet,173765,37.5-325 mg,tablet,oral
43405,BALACET 325 100 MG-325 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-325 mg tablet,473480,100-325 mg,tablet,oral
43612,DURAGESIC 12 MCG/HR TRANSDERMAL PATCH,12236,OPIOID ANALGESICS,6510002500,FENTANYL,fentaNYL 12 mcg/hr transdermal patch,474106,12 mcg/hr,patch 72 hour,transdermal
43686,"OXYCODONE ER 10 MG TABLET,EXTENDED RELEASE,12 HR",12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,"oxyCODONE ER 10 mg tablet,extended release,12 hr",261496,10 mg,tablet extended release 12 hr,oral
43687,"OXYCODONE ER 20 MG TABLET,EXTENDED RELEASE,12 HR",12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,"oxyCODONE ER 20 mg tablet,extended release,12 hr",289334,20 mg,tablet extended release 12 hr,oral
43688,"OXYCODONE ER 40 MG TABLET,EXTENDED RELEASE,12 HR",12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,"oxyCODONE ER 40 mg tablet,extended release,12 hr",194981,40 mg,tablet extended release 12 hr,oral
43758,BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6520001010,BUPRENORPHINE HCL,buprenorphine HCL 0.3 mg/mL injection solution,474313,0.3 mg/mL,solution,injection
44004,FENTANYL (PF)-BUPIVACAINE-NACL 2.5 MCG/ML-0.0625% INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF)-bupivacaine-NaCl 2.5 mcg/mL-0.0625% injection solution,474754,2.5-0.0625 mcg/mL-%,solution,injection
44005,FENTANYL (PF)-BUPIVACAINE-NACL 3 MCG/ML-0.05% INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF)-bupivacaine-NaCl 3 mcg/mL-0.05% injection solution,474747,3-0.05 mcg/mL-%,solution,injection
44012,FENTANYL (PF) 25 MCG/ML IN 0.9 % SODIUM CHLORIDE INJECTION,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 25 mcg/mL in 0.9 % sodium chloride injection,474753,25 mcg/mL,solution,injection
44013,FENTANYL-BUPIVACAINE-NACL (PF) 3 MCG/ML-0.125 % EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL (PF) 3 mcg/mL-0.125 % epidural solution,474761,3-0.125 mcg/mL-%,solution,epidural
44015,FENTANYL-BUPIVACAINE-NACL (PF) 3 MCG/ML-0.1 % EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL-bupivacaine-NaCL (PF) 3 mcg/mL-0.1 % epidural solution,474762,3 mcg/mL -0.1 %,solution,epidural
44016,FENTANYL-ROPIVACAINE-NACL (PF) 2 MCG/ML-0.1% EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 2 mcg/mL-0.1% epidural solution,474763,2-0.1 mcg/mL-%,solution,epidural
44017,FENTANYL-ROPIVACAINE-NACL (PF) 3 MCG/ML-0.2% EPIDURAL SOLUTION,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 3 mcg/mL-0.2% epidural solution,474764,3-0.2 mcg/mL-%,solution,epidural
44078,HYDROMORPHONE (PF) 4 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 4 mg/mL injection solution,252556,4 mg/mL,solution,injection
44079,HYDROMORPHONE (PF) 1 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 1 mg/mL injection solution,210158,1 mg/mL,solution,injection
44081,HYDROMORPHONE (PF) 2 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 2 mg/mL injection solution,551067,2 mg/mL,solution,injection
44153,HYDROMORPHONE 1 MG/ML IN 0.9 % SODIUM CHLORIDE INJECTION,12236,OPIOID ANALGESICS,9990304495,HYDROMORPHONE HCL IN 0.9% NACL,HYDROmorphone 1 mg/mL in 0.9 % sodium chloride injection,474766,1 mg/mL,solution,injection
44156,MORPHINE 55 MG/55 ML IN 0.9 % SODIUM CHLORIDE INJECTABLE PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 55 mg/55 mL in 0.9 % sodium chloride injectable PCA syringe,474847,55 mg/55 mL (1 mg/mL),pt controlled analgesia syring,injection
44157,MORPHINE 25 MG/25 ML IN 0.9 % SODIUM CHLORIDE PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 25 mg/25 mL in 0.9 % sodium chloride PCA syringe,474767,25 mg/25 mL,pt controlled analgesia syring,injection
44158,MORPHINE 125 MG/25 ML IN 0.9 % SODIUM CHLORIDE PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 125 mg/25 mL in 0.9 % sodium chloride PCA syringe,474768,125 mg/25 mL,pt controlled analgesia syring,injection
44159,MORPHINE 275 MG/55 ML (5 MG/ML) IN 0.9% SODIUM CHLORIDE IV PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 275 mg/55 mL (5 mg/mL) in 0.9% sodium chloride IV PCA syringe,474848,275 mg/55 mL (5 mg/mL),pt controlled analgesia syring,intravenous
44160,MORPHINE 250 MG/25 ML IN 0.9 % SODIUM CHLORIDE PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 250 mg/25 mL in 0.9 % sodium chloride PCA syringe,474769,250 mg/25 mL,pt controlled analgesia syring,injection
44161,MORPHINE 550 MG/55 ML (10 MG/ML) IN 0.9 % SODIUM CHLORIDE PCA SYRINGE,12236,OPIOID ANALGESICS,9990304497,MORPHINE SULFATE IN 0.9 % NACL,morphine 550 mg/55 mL (10 mg/mL) in 0.9 % sodium chloride PCA syringe,474849,550 mg/55 mL (10 mg/mL),pt controlled analgesia syring,injection
44162,FENTANYL (PF) 250 MCG/25 ML (10 MCG/ML) IN 0.9 % NACL PCA SYRINGE,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 250 mcg/25 mL (10 mcg/mL) in 0.9 % NaCl PCA syringe,474770,250 mcg/25 mL,pt controlled analgesia syring,injection
44163,FENTANYL (PF) 550 MCG/55 ML (10 MCG/ML) IN 0.9 % NACL PCA SYRINGE,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 550 mcg/55 mL (10 mcg/mL) in 0.9 % NaCl PCA syringe,474850,550 mcg/55 mL,pt controlled analgesia syring,injection
44164,FENTANYL (PF) 500 MCG/25 ML (20 MCG/ML)_IN 0.9 % NACL PCA SYRINGE,12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,fentaNYL (PF) 500 mcg/25 mL (20 mcg/mL)_in 0.9 % NaCl PCA syringe,474771,500 mcg/25 mL,pt controlled analgesia syring,injection
44165,"FENTANYL (PF) 1,100 MCG/55 ML (20 MCG/ML) IN 0.9 % NACL PCA SYRINGE",12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,"fentaNYL (PF) 1,100 mcg/55 mL (20 mcg/mL) in 0.9 % NaCl PCA syringe",474851,"1,100 mcg/55 mL",pt controlled analgesia syring,injection
44166,"FENTANYL (PF) 1,250 MCG/25 ML (50 MCG/ML) IN 0.9 % NACL PCA SYRINGE",12236,OPIOID ANALGESICS,9990304493,FENTANYL CITRATE-0.9 % NACL/PF,"fentaNYL (PF) 1,250 mcg/25 mL (50 mcg/mL) in 0.9 % NaCl PCA syringe",474772,"1,250 mcg/25 mL",pt controlled analgesia syring,injection
44167,"FENTANYL (PF) 2,750 MCG/55 ML (50 MCG/ML) INTRAVENOUS PCA SYRINGE",12236,OPIOID ANALGESICS,9990304461,FENTANYL CITRATE/PF,"fentaNYL (PF) 2,750 mcg/55 mL (50 mcg/mL) intravenous PCA syringe",474852,"2,750 mcg/55 mL (50 mcg/mL)",pt controlled analgesia syring,intravenous
44168,MEPERIDINE (PF) 250 MG/25 ML IN 0.9 % SODIUM CHLORIDE PCA SYRINGE,12236,OPIOID ANALGESICS,9990305180,MEPERIDINE HCL IN 0.9% NACL/PF,meperidine (PF) 250 mg/25 mL in 0.9 % sodium chloride PCA syringe,474773,250 mg/25 mL,pt controlled analgesia syring,injection
44169,MEPERIDINE (PF) 550 MG/55 ML (10 MG/ML) IN 0.9 % NACL IV PCA SYRINGE,12236,OPIOID ANALGESICS,9990305180,MEPERIDINE HCL IN 0.9% NACL/PF,meperidine (PF) 550 mg/55 mL (10 mg/mL) in 0.9 % NaCl IV PCA syringe,474853,550 mg/55 mL (10 mg/mL),pt controlled analgesia syring,intravenous
44170,FENTANYL (PF)-BUPIVACAINE-NACL 3 MCG/ML-0.05% INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305595,FENTANYL/BUPIVACAINE/NS/PF,fentaNYL (PF)-bupivacaine-NaCl 3 mcg/mL-0.05% injection pump reservoir,474804,3-0.05 mcg/mL-%,prefilled pump reservoir,injection
44172,FENTANYL (PF) 2 MCG/ML-ROPIVACAINE 0.2 %-NACL EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL (PF) 2 mcg/mL-ropivacaine 0.2 %-NaCl epidural pump reservoir,474805,2-0.2 mcg/mL-%,prefilled pump reservoir,epidural
44173,FENTANYL (PF) 2 MCG/ML-ROPIVACAINE 0.1%-NACL INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL (PF) 2 mcg/mL-ropivacaine 0.1%-NaCl injection pump reservoir,474806,2 mcg/mL-0.1 %,prefilled pump reservoir,injection
44174,FENTANYL-ROPIVACAINE-NACL (PF) 3 MCG/ML-0.1 % EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 3 mcg/mL-0.1 % epidural pump reservoir,474807,3-0.1 mcg/mL-%,prefilled pump reservoir,epidural
44175,FENTANYL(PF) 5 MCG/ML-ROPIVACAINE 0.0625 %-NACL INJECTION PUMP RESERVR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL(PF) 5 mcg/mL-ropivacaine 0.0625 %-NaCl injection pump reservr,474808,5 mcg/mL- 0.0625 %,prefilled pump reservoir,injection
44176,FENTANYL (PF) 5 MCG/ML-ROPIVACAINE 0.1 %-NACL INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL (PF) 5 mcg/mL-ropivacaine 0.1 %-NaCl injection pump reservoir,474809,5-0.1 mcg/mL-%,prefilled pump reservoir,injection
44177,FENTANYL(PF) 6 MCG/ML-ROPIVACAINE 0.1%-NACL- INJECTION PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL(PF) 6 mcg/mL-ropivacaine 0.1%-NaCl- injection pump reservoir,474810,6-0.1 mcg/mL-%,prefilled pump reservoir,injection
44178,FENTANYL-ROPIVACAINE-NACL (PF) 5 MCG/ML-0.2% EPIDURAL PUMP RESERVOIR,12236,OPIOID ANALGESICS,9990305596,FENTANYL/ROPIVACAINE/NS/PF,fentaNYL-ropivacaine-NaCl (PF) 5 mcg/mL-0.2% epidural pump reservoir,474811,5-0.2 mcg/mL-%,prefilled pump reservoir,epidural
44247,DEMEROL (PF) 100 MG/2 ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305139,MEPERIDINE HCL/PF,meperidine (PF) 100 mg/2 mL injection solution,475264,100 mg/2 mL,solution,injection
44341,PROPOXYPHENE N-ACETAMINOPHEN 100 MG-500 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-500 mg tablet,451664,100-500 mg,tablet,oral
44470,DEMEROL (PF) 25 MG/0.5 ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305139,MEPERIDINE HCL/PF,meperidine (PF) 25 mg/0.5 mL injection solution,475266,25 mg/0.5 mL,solution,injection
44589,"ULTRAM ER 100 MG TABLET,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510009510,TRAMADOL HCL,"traMADoL ER 100 mg tablet,extended release 24 hr",476215,100 mg,tablet extended release 24 hr,oral
44590,"ULTRAM ER 200 MG TABLET,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510009510,TRAMADOL HCL,"traMADoL ER 200 mg tablet,extended release 24 hr",476217,200 mg,tablet extended release 24 hr,oral
44591,"ULTRAM ER 300 MG TABLET,EXTENDED RELEASE",12236,OPIOID ANALGESICS,6510009510,TRAMADOL HCL,"traMADoL ER 300 mg tablet,extended release 24 hr",476218,300 mg,tablet extended release 24 hr,oral
